,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_16_SEACell-37,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-38,16,7,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_16_SEACell-39,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-4,16,7,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_16_SEACell-5,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_16_SEACell-6,16,7,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_16_SEACell-7,16,7,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_16_SEACell-8,16,7,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_16_SEACell-9,16,7,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-0,22,8,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-1,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-10,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-11,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-12,22,8,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-13,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-14,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-15,22,8,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-16,22,8,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-17,22,8,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
